,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,director_cat,actor2_cat,genres_cat,actor_1_cat,actor_3_cat,plot_keywords_cat,content_rating_cat
24,251,113,129,1000,16000,70083519,The Golden Compass ,149019,24106,2,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,666,English,USA,180000000,2007,6000,6.1,2.35,0,353,896,439,337,1897,2791,7
25,446,201,0,84,6000,218051260,King Kong ,316018,7123,0,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2618,English,New Zealand,207000000,2005,919,7.2,2.35,0,1763,2689,78,1369,1039,891,7
26,315,194,0,794,29000,658672302,Titanic ,793059,45223,0,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,2528,English,USA,200000000,1997,14000,7.7,2.35,26000,919,1491,834,1123,1182,1148,7
27,516,147,94,11000,21000,407197282,Captain America: Civil War ,272670,64798,0,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,1022,English,USA,250000000,2016,19000,8.2,2.35,72000,132,2477,125,1587,563,1567,7
28,377,131,532,627,14000,65173160,Battleship ,202382,26679,0,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,751,English,USA,209000000,2012,10000,5.9,2.35,44000,1745,96,126,1136,3085,2171,7
29,644,124,365,1000,3000,652177271,Jurassic World ,418214,8458,0,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,1290,English,USA,150000000,2015,2000,7,2,150000,400,1443,126,239,2481,3579,7
30,750,143,0,393,883,304360277,Skyfall ,522030,2039,0,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,1498,English,UK,200000000,2012,563,7.8,2.35,80000,1994,1076,127,33,2812,2263,7
31,300,135,0,4000,24000,373377893,Spider-Man 2 ,411164,43388,1,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,1303,English,USA,200000000,2004,11000,7.3,2.35,0,1997,1177,105,747,1888,3429,7
32,608,195,1000,3000,21000,408992272,Iron Man 3 ,557489,30426,3,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,1187,English,USA,200000000,2013,4000,7.2,2.35,95000,2040,1397,125,1587,877,1075,7
33,451,108,13000,11000,40000,334185206,Alice in Wonderland ,306320,79957,0,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,736,English,USA,200000000,2010,25000,6.5,1.85,24000,2190,66,439,936,204,631,6
34,334,104,420,560,20000,234360014,X-Men: The Last Stand ,383427,21714,0,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,1912,English,Canada,210000000,2006,808,6.8,2.35,0,250,1534,107,713,709,1715,7
35,376,104,37,760,12000,268488329,Monsters University ,235025,14863,0,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,265,English,USA,200000000,2013,779,7.3,1.85,44000,446,2778,302,1777,2925,2735,1
36,366,150,0,464,894,402076689,Transformers: Revenge of the Fallen ,323207,3218,0,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,1439,English,USA,200000000,2009,581,6,2.35,0,1510,1560,125,660,2646,1304,7
37,378,165,0,808,974,245428137,Transformers: Age of Extinction ,242420,3988,2,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,918,English,USA,210000000,2014,956,5.7,2.35,56000,1510,2569,125,182,1832,1971,7
38,525,130,0,11000,44000,234903076,Oz the Great and Powerful ,175409,73441,4,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,511,English,USA,215000000,2013,15000,6.4,2.35,60000,1997,1992,439,1851,1386,2915,6
39,495,142,464,825,15000,202853933,The Amazing Spider-Man 2 ,321227,28631,0,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,1067,English,USA,200000000,2014,10000,6.7,2.35,41000,1413,150,106,557,263,3208,7
40,469,125,364,1000,12000,172051787,TRON: Legacy ,264183,25550,0,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,665,English,USA,170000000,2010,10000,6.8,2.35,30000,1190,2110,125,826,1385,1030,6
41,304,106,487,776,1000,191450875,Cars 2 ,101178,4482,0,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,283,English,USA,200000000,2011,919,6.3,2.35,10000,1110,2689,312,894,926,1802,1
42,436,123,258,326,16000,116593191,Green Lantern ,223393,17657,2,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,550,English,USA,200000000,2011,368,5.6,2.35,24000,1454,2668,125,1641,3086,1311,7
43,453,103,125,721,15000,414984497,Toy Story 3 ,544884,19085,3,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,733,English,USA,200000000,2010,1000,8.3,1.85,30000,1344,1382,302,1871,882,3029,1
44,422,118,368,988,23000,125320003,Terminator Salvation ,286095,27468,0,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,974,English,USA,200000000,2009,3000,6.6,2.35,0,1495,395,125,321,641,3414,7
45,424,140,0,14000,26000,350034110,Furious 7 ,278232,79150,0,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,657,English,USA,190000000,2015,23000,7.2,2.35,94000,948,2181,219,811,3292,2552,7
46,654,123,395,1000,17000,202351611,World War Z ,465019,32392,0,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,995,English,USA,190000000,2013,11000,7,2.35,129000,1409,332,114,1482,2346,2702,7
47,539,149,0,20000,34000,233914986,X-Men: Days of Future Past ,514125,91434,7,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,752,English,USA,200000000,2014,22000,8,2.35,82000,281,2203,107,843,1285,3766,7
48,590,132,14000,928,19000,228756232,Star Trek Into Darkness ,395573,21411,0,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,1171,English,USA,190000000,2013,981,7.8,2.35,92000,895,386,125,155,2448,431,7
49,338,114,0,140,979,65171860,Jack the Giant Slayer ,106416,1766,1,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,205,English,USA,195000000,2013,557,6.3,2.35,22000,281,906,449,527,2644,1745,7
50,490,143,1000,77,29000,144812796,The Great Gatsby ,362912,29770,4,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,753,English,Australia,105000000,2013,509,7.3,2.35,115000,172,835,834,1123,3038,4449,7
51,306,116,179,236,15000,90755643,Prince of Persia: The Sands of Time ,222403,16149,2,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,453,English,USA,200000000,2010,567,6.6,2.35,23000,1589,2303,105,767,2677,592,7
52,575,131,0,919,16000,101785482,Pacific Rim ,381148,19166,0,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,1106,English,USA,190000000,2013,968,7,1.85,83000,810,547,125,291,1924,4264,7
53,428,154,0,581,894,352358779,Transformers: Dark of the Moon ,326180,2593,2,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,899,English,USA,195000000,2011,829,6.3,2.35,46000,1510,1673,125,660,1853,1303,7
54,470,122,14000,1000,11000,317011114,Indiana Jones and the Kingdom of the Crystal Skull ,333847,14959,2,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,2054,English,USA,185000000,2008,1000,6.2,2.35,5000,2127,2272,100,684,1562,3310,7
55,298,93,113,113,275,123070338,The Good Dinosaur ,62836,696,0,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,345,English,USA,40645199.5,2015,150,6.8,2.35,20000,1776,1138,302,1,2585,985,6
56,488,93,56,838,2000,237282182,Brave ,273556,5005,0,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,428,English,USA,185000000,2012,1000,7.2,2.35,39000,1429,1382,302,1031,1746,1037,6
57,322,122,681,105,998,130468626,Star Trek Beyond ,53607,1327,4,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,432,English,USA,185000000,2016,119,7.5,2.35,30000,1227,1911,126,1750,2062,4333,7
58,421,98,475,522,1000,223806889,WALL·E ,718837,2975,0,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,1043,English,USA,180000000,2008,729,8.4,2.35,16000,98,949,327,928,1494,3774,1
59,162,91,420,173,268,140080850,Rush Hour 3 ,121084,1125,2,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,221,English,USA,140000000,2007,268,6.2,2.35,0,250,613,164,1905,2455,760,7
60,367,158,776,310,1000,166112167,2012 ,283418,2144,0,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,1055,English,USA,200000000,2009,468,5.8,2.35,13000,1947,1680,125,1433,3194,1065,7
61,240,96,0,10000,18000,137850096,A Christmas Carol ,72809,48878,0,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,249,English,USA,200000000,2009,14000,6.8,2.35,0,1929,562,491,1601,1121,2714,6
62,384,127,0,13000,17000,47375327,Jupiter Ascending ,139593,47334,1,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,720,English,USA,176000000,2015,15000,5.4,2.35,44000,1319,1992,125,286,932,2164,7
63,248,110,282,103,11000,124051759,The Legend of Tarzan ,42372,21175,2,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239,English,USA,180000000,2016,10000,6.6,2.35,29000,542,96,78,331,487,526,7
64,284,150,80,82,1000,291709845,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,1317,5,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,1463,English,USA,180000000,2005,190,6.9,2.35,0,83,1588,439,871,2949,4358,6
65,396,144,0,1000,34000,154985087,X-Men: Apocalypse ,148379,49684,6,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,622,English,USA,178000000,2016,13000,7.3,2.35,54000,281,1937,125,843,3243,4667,7
66,645,152,22000,11000,23000,533316061,The Dark Knight ,1676169,57802,0,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,4667,English,USA,185000000,2008,13000,9,2.35,37000,375,1069,204,321,2368,1566,7
67,408,96,0,262,1000,292979556,Up ,665575,2635,1,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,704,English,USA,175000000,2009,848,8.3,1.85,27000,1741,709,301,928,1533,1394,6
68,219,94,11,459,1000,198332128,Monsters vs. Aliens ,114553,2579,2,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,187,English,USA,175000000,2009,973,6.5,2.35,0,1887,2254,8,79,3025,644,6
69,486,126,4000,4000,21000,318298180,Iron Man ,696338,39252,3,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,1055,English,USA,140000000,2008,12000,7.9,2.35,10000,1147,1245,125,1587,1662,478,7
70,682,126,17000,1000,17000,73820094,Hugo ,245333,36017,0,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,678,English,USA,170000000,2011,16000,7.5,1.85,42000,1459,522,411,306,2667,1307,6
71,85,106,188,582,10000,113745408,Wild Wild West ,129601,15870,2,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,648,English,USA,170000000,1999,4000,4.8,1.85,0,169,2437,191,1954,264,2367,7
72,264,112,357,595,5000,102176165,The Mummy: Tomb of the Dragon Emperor ,117927,9131,2,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,501,English,USA,145000000,2008,3000,5.2,2.35,0,1885,348,104,866,2838,1090,7
73,418,123,452,329,10000,161087183,Suicide Squad ,118992,11287,8,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,971,English,USA,175000000,2016,336,6.9,2.35,80000,486,2358,52,1954,1302,1565,7
74,186,96,293,7000,87000,100289690,Evan Almighty ,115099,108016,0,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,257,English,USA,175000000,2007,11000,5.4,2.35,2000,2234,2019,643,878,3042,1066,6
75,585,113,218,509,10000,100189501,Edge of Tomorrow ,431620,12652,1,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,741,English,USA,178000000,2014,854,7.9,2.35,77000,596,1618,125,1867,2446,680,7
76,91,176,58,60,711,88246220,Waterworld ,144337,1004,0,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,309,English,USA,175000000,1995,60,6.1,1.85,0,1285,2318,126,824,3389,4202,7
77,250,118,208,570,23000,150167630,G.I. Joe: The Rise of Cobra ,174578,26683,4,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,534,English,USA,175000000,2009,2000,5.8,2.35,0,2097,719,126,958,1959,2994,7
78,536,95,0,384,1000,356454367,Inside Out ,345198,2944,1,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,773,English,USA,175000000,2015,767,8.3,1.85,118000,1741,1996,296,79,2603,876,6
79,370,106,4000,591,19000,362645141,The Jungle Book ,106072,32921,0,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,398,English,UK,175000000,2016,13000,7.8,1.85,65000,1147,296,409,1681,1113,4064,6
80,453,124,4000,4000,21000,312057433,Iron Man 2 ,522371,48638,4,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,723,English,USA,200000000,2010,19000,7,2.35,18000,1147,2477,125,1587,1662,4328,7
81,416,132,274,11000,26000,155111815,Snow White and the Huntsman ,228554,72881,0,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,710,English,USA,170000000,2012,17000,6.1,2.35,53000,1967,1599,68,314,2861,3860,7
82,401,97,171,846,11000,241407328,Maleficent ,252257,15516,2,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,634,English,USA,180000000,2014,2000,7,2.35,89000,1925,2520,91,93,2868,3345,6
83,521,130,198,884,10000,208543795,Dawn of the Planet of the Apes ,317542,14363,0,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,620,English,USA,170000000,2014,2000,7.6,1.85,45000,1478,1443,83,634,1890,988,7
84,10,109,596,283,622,48976946.02,The Lovers ,2138,1982,3,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,15,English,Belgium,40645199.5,2015,525,4.5,,677,1948,110,120,1812,332,25,9
85,218,128,47,982,18000,38297305,47 Ronin ,116994,20965,2,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,324,English,USA,175000000,2013,1000,6.3,2.35,35000,290,436,68,1024,1577,2173,7
86,576,136,94,2000,19000,259746958,Captain America: The Winter Soldier ,496749,36188,1,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,742,English,USA,170000000,2014,11000,7.8,2.35,55000,132,491,125,1681,1243,3162,7
87,226,93,31,213,4000,238371987,Shrek Forever After ,138661,4628,2,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,173,English,USA,165000000,2010,225,6.4,2.35,0,1587,1506,302,943,2156,742,6
88,443,130,663,604,2000,93417865,Tomorrowland ,128306,5046,2,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,497,English,USA,190000000,2015,638,6.5,2.2,37000,232,486,96,971,3139,2204,6
89,384,102,38,562,756,222487711,Big Hero 6 ,279093,2963,0,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,433,English,USA,165000000,2014,719,7.9,2.39,41000,582,620,4,387,10,4367,6
90,377,101,66,833,975,189412677,Wreck-It Ralph ,272534,4451,1,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,345,English,USA,165000000,2012,931,7.8,2.35,40000,1844,2468,311,752,1594,1031,6
91,188,100,0,267,15000,665426,The Polar Express ,120798,16264,0,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1,444,English,USA,165000000,2004,726,6.6,2.35,10000,1929,803,323,1871,2584,2220,1
92,286,120,776,535,890,102315545,Independence Day: Resurgence ,58137,3233,0,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,520,English,USA,165000000,2016,812,5.5,2.35,67000,1947,2503,125,1936,1720,666,7
93,288,98,255,759,18000,217387997,How to Train Your Dragon ,485430,20453,0,http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1,492,English,USA,165000000,2010,953,8.2,2.35,33000,545,131,323,649,663,3684,6
94,280,109,84,191,648,150350192,Terminator 3: Rise of the Machines ,305340,1769,0,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1,1676,English,USA,200000000,2003,284,6.4,2.35,0,1175,1759,281,1394,479,3699,9
95,653,121,571,3000,14000,333130696,Guardians of the Galaxy ,682155,32438,3,http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1,1097,English,USA,170000000,2014,14000,8.1,2.35,96000,929,2816,125,205,867,2139,7
96,712,169,22000,6000,11000,187991439,Interstellar ,928227,31488,1,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,2725,English,USA,165000000,2014,11000,8.6,2.35,349000,375,180,431,1256,2076,1926,7
97,642,148,22000,23000,29000,292568851,Inception ,1468200,81115,0,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1,2803,English,USA,160000000,2010,27000,8.8,2.35,175000,375,2737,126,1123,1694,768,7
98,1,120,28,12,544,48976946.02,Godzilla Resurgence ,374,699,0,http://www.imdb.com/title/tt4262980/?ref_=fn_tt_tt_1,13,Japanese,Japan,40645199.5,2016,106,8.2,2.35,0,854,2543,76,1217,252,2013,5
99,645,182,0,773,5000,303001229,The Hobbit: An Unexpected Journey ,637246,9152,,http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1,1367,English,USA,180000000,2012,972,7.9,2.35,166000,1763,20,449,20,1397,3681,7
100,187,106,357,4000,23000,144512310,The Fast and the Furious ,272223,45327,2,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,988,English,USA,38000000,2001,14000,6.7,2.35,14000,1885,2816,219,1476,1688,3792,7
101,362,166,21000,919,11000,127490802,The Curious Case of Benjamin Button ,459346,13333,2,http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1,822,English,USA,150000000,2008,1000,7.8,2.35,23000,498,1216,781,203,1732,3486,7
102,500,132,905,1000,34000,146405371,X-Men: First Class ,518537,50983,3,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1,698,English,USA,160000000,2011,13000,7.8,2.35,54000,1487,1937,125,843,2466,2881,7
103,389,137,508,14000,34000,281666058,The Hunger Games: Mockingjay - Part 2 ,166137,81385,1,http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1,383,English,USA,160000000,2015,22000,6.6,2.35,38000,692,2221,460,843,1702,3412,7
104,235,109,226,370,12000,63143812,The Sorcerer's Apprentice ,124185,13388,0,http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1,238,English,USA,150000000,2010,418,6.1,2.35,11000,1158,2115,90,1397,2752,2829,6
105,231,98,249,702,87000,60655503,Poseidon ,82380,92456,0,http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1,629,English,USA,160000000,2006,2000,5.6,2.35,0,2339,1988,85,878,152,3299,7
106,218,113,33,11000,40000,76846624,Alice Through the Looking Glass ,21352,80806,1,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,131,English,USA,170000000,2016,25000,6.4,1.85,30000,917,66,439,936,204,2956,6
107,227,93,50,692,3000,320706665,Shrek the Third ,211971,4705,2,http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1,326,English,USA,160000000,2007,795,6.1,1.85,0,342,869,302,993,2833,3600,6
108,275,123,0,648,3000,46978995,Warcraft ,111609,5505,0,http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1,781,English,USA,160000000,2016,716,7.3,2.35,89000,607,413,100,477,2840,1640,7
109,474,126,230,2000,24000,89732035,Terminator Genisys ,188457,38873,2,http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1,867,English,USA,155000000,2015,10000,6.6,2.35,82000,37,851,125,747,2187,739,7
110,228,113,150,59,531,104383624,The Chronicles of Narnia: The Voyage of the Dawn Treader ,106446,764,4,http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1,227,English,USA,155000000,2010,82,6.3,1.78,11000,1509,2515,439,236,1932,3685,6
111,191,184,0,691,3000,198539855,Pearl Harbor ,254111,5401,0,http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1,1999,English,USA,140000000,2001,961,6.1,2.35,0,1510,1158,232,838,2086,562,7
112,396,144,0,581,662,318759914,Transformers ,513158,2333,0,http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1,1782,English,USA,150000000,2007,599,7.1,2.35,8000,1510,1959,125,1989,1853,633,7
113,248,206,0,591,12000,34293771,Alexander ,138863,24598,3,http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1,1390,English,Germany,155000000,2004,11000,5.5,2.35,0,1677,160,22,110,397,849,9
114,329,138,282,687,21000,292000866,Harry Potter and the Order of the Phoenix ,355137,33433,3,http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1,1108,English,UK,150000000,2007,11000,7.5,2.35,0,542,622,443,1591,1059,1712,7
115,295,157,179,10000,21000,289994397,Harry Potter and the Goblet of Fire ,385670,53413,1,http://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1,1896,English,UK,150000000,2005,11000,7.6,2.35,0,1589,622,443,1591,2835,4061,7
116,318,102,532,979,10000,227946274,Hancock ,343648,21584,0,http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1,590,English,USA,150000000,2008,9000,6.4,2.35,0,1745,465,220,1954,930,2373,7
117,323,104,508,558,10000,256386216,I Am Legend ,530870,13076,0,http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1,1413,English,USA,150000000,2007,1000,7.2,2.35,11000,692,109,810,1954,3357,4673,7
